     10242
         1      -0.4139164686      -0.7928704619       0.4472466707
         2       0.1376186907      -0.8858354688      -0.4431213439
         3       0.6255502701      -0.6346486807       0.4537707865
         4      -0.8855803609       0.1468381584       0.4406654537
         5      -0.0068194862       0.0035794049       0.9999703765
         6       0.8855807781      -0.1468392313      -0.4406641722
         7      -0.6255489588       0.6346493363      -0.4537716508
         8       0.0068204291      -0.0035786598      -0.9999703765
         9      -0.1376178861       0.8858360648       0.4431203902
        10       0.7963113189       0.4028484523       0.4512221813
        11      -0.7963111401      -0.4028492868      -0.4512217343
        12       0.4139157534       0.7928704023      -0.4472474456
        13      -0.2473014891      -0.4639342427       0.8506509066
        14      -0.7638239861      -0.3797268867       0.5219007134
        15      -0.7113557458      -0.7028282285      -0.0023357244
        16      -0.1624030471      -0.9867215157       0.0024241109
        17       0.1243948415      -0.8390749693       0.5296027660
        18      -0.3871707618      -0.7574692369      -0.5256797075
        19       0.0848994181      -0.5227873325      -0.8482249379
        20       0.6014197469      -0.6069929004      -0.5194746852
        21       0.4485792220      -0.8937211633       0.0062597655
        22       0.8882216215      -0.4593506157       0.0077044358
        23       0.8357484937      -0.1362501681       0.5319402218
        24       0.3636803627      -0.3709326088       0.8544855714
        25      -0.6014198065       0.6069934368       0.5194739103
        26      -0.8882219791       0.4593500793      -0.0077039362
        27      -0.9885935783      -0.1504800916      -0.0062061790
        28      -0.5245406032       0.0884155110       0.8467820287
        29       0.4640529454       0.2388937473       0.8529856801
        30      -0.0848997608       0.5227873325       0.8482248187
        31       0.5245420337      -0.0884160995      -0.8467810750
        32       0.7638241053       0.3797257841      -0.5219013691
        33       0.9885935783       0.1504799277       0.0062056622
        34      -0.8357487917       0.1362495720      -0.5319399238
        35      -0.4485795796       0.8937209845      -0.0062606325
        36      -0.1243956834       0.8390749693      -0.5296026468
        37      -0.3636816740       0.3709335923      -0.8544845581
        38      -0.4640534222      -0.2388924509      -0.8529857993
        39       0.2473016828       0.4639338553      -0.8506510854
        40       0.3871702850       0.7574697733       0.5256793499
        41       0.1624032259       0.9867214561      -0.0024236704
        42       0.7113558650       0.7028281689       0.0023350196
        43      -0.3459637761      -0.6577566862       0.6690778732
        44      -0.6073572636      -0.6151423454       0.5027096868
        45      -0.5808048248      -0.7786527276       0.2374147028
        46      -0.3030026555      -0.9223198295       0.2398239374
        47      -0.1578619182      -0.8476017118       0.5066072345
        48       0.3004248440      -0.9248512983      -0.2332274020
        49      -0.0087700458      -0.9719151258      -0.2351682633
        50      -0.1225167885      -0.8558983207      -0.5024218559
        51       0.1163795888      -0.7371346354      -0.6656487584
        52       0.3777721822      -0.7797479630      -0.4992807806
        53       0.7832124233      -0.5710293055       0.2459754050
        54       0.7566571236      -0.4075195491       0.5112708211
        55       0.5177614093      -0.5262863636       0.6744967699
        56       0.3966683149      -0.7631940842       0.5100873113
        57       0.5607261658      -0.7908483148       0.2452449501
        58      -0.7767919898       0.3855111599       0.4979711473
        59      -0.9219322205       0.3107935190       0.2311892062
        60      -0.9727262259       0.0021852362       0.2319459170
        61      -0.8589782119      -0.1138284430       0.4991988540
        62      -0.7378860712       0.1230799928       0.6636079550
        63       0.1804080456      -0.1858059764       0.9658825397
        64       0.2312005609       0.1228053048       0.9651244283
        65      -0.0466015227       0.2664744556       0.9627147317
        66      -0.2690880001       0.0466566421       0.9619848132
        67      -0.1287891865      -0.2328715473       0.9639419913
        68       0.7378858328      -0.1230785474      -0.6636083722
        69       0.8589781523       0.1138280332      -0.4991991222
        70       0.9727262855      -0.0021851093      -0.2319455743
        71       0.9219323397      -0.3107931614      -0.2311891764
        72       0.7767922878      -0.3855106831      -0.4979710281
        73      -0.7566570044       0.4075201452      -0.5112705231
        74      -0.7832123041       0.5710295439      -0.2459751368
        75      -0.5607262850       0.7908483148      -0.2452448457
        76      -0.3966687620       0.7631934285      -0.5100879073
        77      -0.5177613497       0.5262859464      -0.6744970083
        78       0.1287897676       0.2328721434      -0.9639417529
        79       0.2690877318      -0.0466568209      -0.9619848728
        80       0.0466023609      -0.2664739788      -0.9627147913
        81      -0.2312013209      -0.1228043959      -0.9651243091
        82      -0.1804072261       0.1858053505      -0.9658827782
        83      -0.1163794771       0.7371346951       0.6656487584
        84       0.1225167438       0.8558986187       0.5024213791
        85       0.0087711457       0.9719150662       0.2351683825
        86      -0.3004240990       0.9248515964       0.2332270890
        87      -0.3777717650       0.7797479033       0.4992811382
        88       0.9251033664       0.2910628617       0.2438566834
        89       0.7848042846       0.5705846548       0.2418995649
        90       0.6207471490       0.5982356071       0.5067417026
        91       0.6596524715       0.3358048797       0.6723791361
        92       0.8477542996       0.1459608674       0.5099099278
        93      -0.8477547169      -0.1459603757      -0.5099093318
        94      -0.6596523523      -0.3358054161      -0.6723790169
        95      -0.6207473278      -0.5982363224      -0.5067406297
        96      -0.7848045230      -0.5705840588      -0.2419003099
        97      -0.9251039624      -0.2910614610      -0.2438563108
        98       0.3030018508       0.9223200679      -0.2398241162
        99       0.5808045864       0.7786527872      -0.2374151051
       100       0.6073585749       0.6151413321      -0.5027093887
       101       0.3459641635       0.6577564478      -0.6690779328
       102       0.1578615159       0.8476020098      -0.5066069365
       103      -0.0523850061      -0.6787688136       0.7324811816
       104       0.0632880628      -0.4524627924       0.8895347118
       105      -0.4179574549      -0.2035818249       0.8853620887
       106      -0.5336312056      -0.4298892617       0.7283082604
       107      -0.9190803766      -0.2923085093       0.2642857730
       108      -0.7850584388      -0.5593242645       0.2661571503
       109      -0.6676511765      -0.1628756821       0.7264388800
